site_number,store_size,market_share,car_traffic,seconds_to_near_highway,dist_nearest_act_site,Final_urbanicity,Pop_Estimate_CrYr,dist_nearest_grocery,Total_merch_revenue_2022,Median_HH_Income_CrYr,closest_tier1_competitor,Fresh_Food_Fast_Program_Indicator,site_number,division_desc,Region_ID,region_desc,Market_ID,site_country_id,site_state_desc,BU_simplified_name,Eastern_Canada_Breakdown
2700404,2613,0.125,112199,213,32.23798016,Suburban,7930.176158975409,0.729134852,2157842.438,41337.04177144839,0.009477192,FALSE,2700404,3100 - Grand Canyon Division,3120,3120 - GR Region - Ray Feeler,3121,US,Arizona,GRAND CANYON,Other
2700412,2613,0.31666666666666665,299177,217,1.664837408,Urban,406991.3291393169,0.331256491,1964555.609,68701.24772,0.003702568,TRUE,2700412,3100 - Grand Canyon Division,3140,3140 - GR Region - Claudia Figueroa,3143,US,Arizona,GRAND CANYON,Other
2700415,2633,0.4,62648,1999,2.406055352,Suburban,5379.196862348478,2.258029241,1747315.113,48806.722343035835,3.106452211598042,FALSE,2700415,3100 - Grand Canyon Division,3120,3120 - GR Region - Ray Feeler,3122,US,Arizona,GRAND CANYON,Other
2700419,2650,0.16666666666666666,171927,93,1.154425614,Suburban,20319.927466275927,1.689463224,2436860.5,54559.806763603614,0.068055846,FALSE,2700419,3100 - Grand Canyon Division,3140,3140 - GR Region - Claudia Figueroa,3141,US,Arizona,GRAND CANYON,Other
2700420,2624,0.2,116577,4,4.291442218,Rural,32014.282564720288,1.155027867,2932942.22,42768.381564863856,0.004920255,FALSE,2700420,3100 - Grand Canyon Division,3130,3130 - GR Region - Carlos Estrada,3131,US,Arizona,GRAND CANYON,Other
2700423,2613,0.2222222222222222,69914,2583,2.495141282,Rural,8515.793130636866,1.87517944,2453159.33,52308.62915901371,0.009167429,TRUE,2700423,3100 - Grand Canyon Division,3140,3140 - GR Region - Claudia Figueroa,3141,US,Arizona,GRAND CANYON,Other
2700424,2628,0.5,87551,4511,1.462933157,Rural,8531.889793927052,2.014177384,2441985.22,56607.57834286638,0.097975104,FALSE,2700424,3100 - Grand Canyon Division,3120,3120 - GR Region - Ray Feeler,3122,US,Arizona,GRAND CANYON,Other
2700428,3350,0.4,55750,222,2.767098142,Rural,3813.4658916672493,28.22382175,3359730.72,41790.921708356145,0.11079592955571281,TRUE,2700428,3100 - Grand Canyon Division,3120,3120 - GR Region - Ray Feeler,3122,US,Arizona,GRAND CANYON,Other
2700450,2500,0.25757575757575757,246503,362,1.029120063,Suburban,133282.73798190278,1.318986166,1254259.48,35599.34660502823,2.9253879541773466,TRUE,2700450,1800 - Rocky Mountain Division,1830,1830 - RM Region - Victor Salas,1839,US,Texas,ROCKY MOUNTAINS,Other
2700467,1173,0.098591549,1206554,84,1.695596039,Urban,285033.1273137475,0.145673778,1462076.587,54588.60386673639,0.5545083871991311,FALSE,2700467,1900 - Gulf Coast Division,1930,1930 - Gulf Coast - Olajuwan Alexander,1933,US,Louisiana,GULF COAST,Other
2700481,2400,0.19444444444444445,216985,119,0.987221479,Urban,107111.22155096354,1.85564709,1458107.244,46489.258877023254,2.483394727365986,TRUE,2700481,1800 - Rocky Mountain Division,1830,1830 - RM Region - Victor Salas,1835,US,Texas,ROCKY MOUNTAINS,Other
2700483,2779,0.40963855421686746,695925,82,0.697562836,Urban,209727.76822506142,0.596770504,2097430.173,43241.578142133694,0.6735574266411603,FALSE,2700483,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,315A,US,Arizona,GRAND CANYON,Other
2700489,2800,0.029940119760479042,1312758,66,3.588549822,Urban,418796.9367616657,1.992491649,1520914.439,71943.33412036857,0.55510262,FALSE,2700489,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2661,US,California,WEST COAST,Other
2700515,2700,0.090909091,76515,191,57.76858181,Suburban,7429.737199835175,NULL,1984951.103,29415.549647176384,12.401504836396947,TRUE,2700515,1800 - Rocky Mountain Division,1870,1870 - RM Region - Robert Stroup,1872,US,New Mexico,ROCKY MOUNTAINS,Other
2700517,2500,0.359375,255991,580,0.990293781,Urban,177299.9107539899,0.965519807,2180621.225,43288.93795879112,0.032685336,FALSE,2700517,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3152,US,Arizona,GRAND CANYON,Other
2700538,2800,0.10714285714285714,300022,91,1.09926031,Urban,178876.5570044094,1.08056939,2066917.319,57560.14226997702,1.2041794165855575,TRUE,2700538,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2666,US,California,WEST COAST,Other
2700540,4000,0.090909091,150741,1192,7.268498269,Rural,19969.821396005278,1.49568644,2462530.034,57293.017608072354,0.004533137,TRUE,2700540,1900 - Gulf Coast Division,1930,1930 - Gulf Coast - Olajuwan Alexander,1934,US,Louisiana,GULF COAST,Other
2700542,2581,0.068592058,899880,33,0.871559914,Urban,636749.1271966011,0.881982532,1080546.787,41038.66174797946,0.8971829682517208,FALSE,2700542,3100 - Grand Canyon Division,3160,3160 - GR Region - Maria Rodriguez,3162,US,Nevada,GRAND CANYON,Other
2700549,2680,0.4,39743,245,1.788907361,Rural,6337.171669519881,0.174539104,2131155.197,56134.30289139463,0.022559604524507067,FALSE,2700549,3100 - Grand Canyon Division,3120,3120 - GR Region - Ray Feeler,3122,US,Arizona,GRAND CANYON,Other
2700564,2800,0.06779661,480260,54,3.03880448,Suburban,130195.84192181031,0.884708831,2191582.05,59706.96087586371,0.5622532918742015,FALSE,2700564,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2666,US,California,WEST COAST,Other
2700580,2500,0.410958904,460226,147,0.848415869,Urban,162669.8693441527,1.726452576,1883616.018,39297.51186970649,0.030873885855500417,FALSE,2700580,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3158,US,Arizona,GRAND CANYON,Other
2700586,2628,0.090909091,365130,30,1.768299383,Suburban,43665.29722255451,0.124273559,2656114.9,43402.51717678701,0.028096425,FALSE,2700586,3100 - Grand Canyon Division,3130,3130 - GR Region - Carlos Estrada,3131,US,Arizona,GRAND CANYON,Other
2700592,2695,0.3835616438356164,617608,106,0.691217251,Urban,194490.67222904615,0.844251465,1798812.876,48158.45283498344,0.024740486,FALSE,2700592,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3151,US,Arizona,GRAND CANYON,Other
2700598,4125,0.25961538461538464,281769,324,1.403603387,Urban,336634.6205559665,0.921042137,1972788.259,58179.46167566465,1.034292670323866,FALSE,2700598,3100 - Grand Canyon Division,3130,3130 - GR Region - Carlos Estrada,3134,US,Arizona,GRAND CANYON,Other
2700610,4480,0.21951219512195122,125459,718,2.285668009,Suburban,129336.89901528283,1.938046727,2651236.083,43640.41785269822,1.8124248370036613,TRUE,2700610,1800 - Rocky Mountain Division,1870,1870 - RM Region - Robert Stroup,1873,US,New Mexico,ROCKY MOUNTAINS,Other
2700663,2500,0.5,24566,7346,26.27860954,Suburban,3439.797760221065,26.30923668,2786211.28,46688.699170540865,0.046596674271887184,FALSE,2700663,3100 - Grand Canyon Division,3120,3120 - GR Region - Ray Feeler,3122,US,Arizona,GRAND CANYON,Other
2700684,2620,0.3076923076923077,388349,395,0.467859027,Urban,95687.82452662177,0.472116242,1955589.383,44103.563552638596,0.019405841,FALSE,2700684,3100 - Grand Canyon Division,3110,3110 - GR Region - Billie Anderson,3112,US,Arizona,GRAND CANYON,Other
2700686,2880,0.22857142857142856,233796,225,1.398128697,Urban,144677.50023797023,1.270625272,1662305.689,49570.37603568406,1.7947057697138684,TRUE,2700686,1800 - Rocky Mountain Division,1870,1870 - RM Region - Robert Stroup,1873,US,New Mexico,ROCKY MOUNTAINS,Other
2700689,2613,0.2727272727272727,141708,2080,2.495141282,Suburban,13743.961366637232,0.687532104,2153988.844,47148.61431,0.00819059,FALSE,2700689,3100 - Grand Canyon Division,3140,3140 - GR Region - Claudia Figueroa,3141,US,Arizona,GRAND CANYON,Other
2700695,2580,0.056910569105691054,1467470,114,1.934038392,Urban,493267.17512719677,0.678179228,1674735.915,42659.60776421707,0.7991373099764781,FALSE,2700695,3100 - Grand Canyon Division,3160,3160 - GR Region - Maria Rodriguez,3163,US,Nevada,GRAND CANYON,Other
2700711,1560,0.11764705882352941,100622,264,1.758713837,Suburban,39835.54674119905,0.759076093,1287211.946,53038.10183674809,0.009174939,FALSE,2700711,1900 - Gulf Coast Division,1930,1930 - Gulf Coast - Olajuwan Alexander,1932,US,Louisiana,GULF COAST,Other
2700719,2800,0.38095238095238093,38705,1871,1.688140465,Urban,81720.14814880583,2.470323005,1907815.338,65109.66541088108,0.019563443166745742,FALSE,2700719,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3155,US,Arizona,GRAND CANYON,Other
2700720,2680,0.2782608695652174,1239924,18,1.364238069,Urban,330831.73764011613,0.19115546,1866763.305,69455.44625547668,0.023870131782297785,FALSE,2700720,3100 - Grand Canyon Division,3120,3120 - GR Region - Ray Feeler,3125,US,Arizona,GRAND CANYON,Other
2700733,2500,0.29411764705882354,199629,231,0.835927561,Suburban,43253.83549369126,0.568550556,2853961.798,58299.45376,0.23085137232833422,FALSE,2700733,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3159,US,Arizona,GRAND CANYON,Other
2700736,2600,0.5,26760,2941,21.85788551,Rural,2199.5985571448678,18.86614235,2190264.299,49991.2568,12.401504836396947,TRUE,2700736,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2663,US,California,WEST COAST,Other
2700742,2852,0.16666666666666666,25955,3559,5.350342451,Rural,2637.0912377291966,4.441235564,1760772.679,45505.00595411154,0.8975536420851562,FALSE,2700742,3100 - Grand Canyon Division,3130,3130 - GR Region - Carlos Estrada,3131,US,Arizona,GRAND CANYON,Other
2700743,2800,0.2222222222222222,55052,28,1.079439818,Rural,19101.154178931516,2.760692595,2211284.844,44892.53410317532,0.6176285124533833,FALSE,2700743,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2664,US,California,WEST COAST,Other
2700745,2672,0.45454545454545453,95217,409,1.535906846,Rural,19856.675552500663,1.371743605,1359281.325,30502.877243154304,0.019909711298298306,FALSE,2700745,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3157,US,Arizona,GRAND CANYON,Other
2700755,2300,0.048327137546468404,565064,371,0.969827802,Urban,509367.2577915271,0.443971127,1669351.521,45496.464605688525,0.8077845835335744,FALSE,2700755,3100 - Grand Canyon Division,3160,3160 - GR Region - Maria Rodriguez,3163,US,Nevada,GRAND CANYON,Other
2700761,2500,0.1111111111111111,128027,50,23.551245,Suburban,6076.562359913517,1.249856912,2054316.507,34674.11303,0.032461979921039566,FALSE,2700761,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3159,US,Arizona,GRAND CANYON,Other
2700770,3000,0.25,112475,13,11.19471046,Rural,9603.724684121917,7.950358814,1935205.24,50775.510675054466,0.207741011,FALSE,2700770,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2664,US,California,WEST COAST,Other
2700779,2400,0.2222222222222222,272381,76,1.187873352,Suburban,40585.41288429981,0.153409841,2885938.134,60482.02133181091,0.018960681851456013,FALSE,2700779,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3157,US,Arizona,GRAND CANYON,Other
2700781,2500,0.16666666666666666,79799,18,13.95857579,Rural,2433.9024356981804,14.06147849,1711052.863,50094.98585554976,0.013279288382102215,FALSE,2700781,3100 - Grand Canyon Division,3130,3130 - GR Region - Carlos Estrada,3133,US,Arizona,GRAND CANYON,Other
2700785,2500,0.4166666666666667,489467,122,1.163677511,Urban,158331.76357876515,0.973892617,2542584.622,39160.98661724139,0.027693380957857835,FALSE,2700785,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3156,US,Arizona,GRAND CANYON,Other
2700787,2500,0.3475609756097561,1571320,64,0.448187672,Urban,406083.8333480685,0.254424056,2220556.003,60245.39467263187,0.002392285,FALSE,2700787,3100 - Grand Canyon Division,3110,3110 - GR Region - Billie Anderson,3118,US,Arizona,GRAND CANYON,Other
2700801,2600,0.056603774,79026,490,5.1877277,Urban,148547.45183227092,0.563578906,1700870.692,87416.81617861465,0.25477857325461223,FALSE,2700801,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2662,US,California,WEST COAST,Other
2700805,2546,0.3469387755102041,359185,551,1.295642885,Urban,139889.65065814558,0.772793683,2534514.52,49126.75909352375,0.032444143,FALSE,2700805,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3158,US,Arizona,GRAND CANYON,Other
2700809,2880,0.38571428571428573,668157,233,0.710213693,Urban,184001.01249947434,0.737108398,2596300.144,45692.834224837694,0.040487141559447236,FALSE,2700809,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3151,US,Arizona,GRAND CANYON,Other
2700811,2706,0.4024390243902439,269533,189,0.743212339,Suburban,202086.53692542057,0.799609327,2192561.764,38799.880307757565,0.040379893,FALSE,2700811,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3158,US,Arizona,GRAND CANYON,Other
2700816,2926,0.2727272727272727,199639,85,1.470921732,Suburban,18816.532406993516,0.426798624,2582620.036,50047.46972835538,0.015558693716918223,FALSE,2700816,3100 - Grand Canyon Division,3120,3120 - GR Region - Ray Feeler,3126,US,Arizona,GRAND CANYON,Other
2700817,2806,0.1111111111111111,94587,127,30.17592417,Rural,3214.4011729343347,0.330427424,2483891,52652.26100844052,12.401504836396947,FALSE,2700817,3100 - Grand Canyon Division,3120,3120 - GR Region - Ray Feeler,3121,US,Arizona,GRAND CANYON,Other
2700820,2500,0.18181818181818182,82676,442,4.902773539,Suburban,37579.292518345086,0.834098676,3471177.555,60389.33172811797,0.5522552910891019,FALSE,2700820,3100 - Grand Canyon Division,3110,3110 - GR Region - Billie Anderson,3113,US,Arizona,GRAND CANYON,Other
2700822,2680,0.4482758620689655,167318,358,1.423301294,Urban,138552.70070730778,0.238969229,2044974.523,67341.69936173855,0.030860001,FALSE,2700822,3100 - Grand Canyon Division,3110,3110 - GR Region - Billie Anderson,3113,US,Arizona,GRAND CANYON,Other
2700837,2275,0.076923077,15728,1013,2.953866241,Urban,71364.73642082661,2.839060644,2370660.059,68904.88866596334,2.912152723856405,TRUE,2700837,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2663,US,California,WEST COAST,Other
2700839,3050,0.2222222222222222,42164,198,1.2957824,Suburban,5947.968324764445,0.412626679,1907207.834,29652.259492123758,12.401504836396947,TRUE,2700839,1800 - Rocky Mountain Division,1870,1870 - RM Region - Robert Stroup,1875,US,New Mexico,ROCKY MOUNTAINS,Other
2700843,4056,0.43103448275862066,481148,17,1.068969335,Urban,113219.0857895868,3.998355773,1568593.512,41554.90417875398,0.013798734597626792,FALSE,2700843,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3158,US,Arizona,GRAND CANYON,Other
2700849,2500,0.32051282051282054,456508,64,1.11954032,Urban,271139.5926024306,1.042921502,2778919.603,60670.06000423143,0.008185015,TRUE,2700849,3100 - Grand Canyon Division,3140,3140 - GR Region - Claudia Figueroa,3145,US,Arizona,GRAND CANYON,Other
2700853,2708,0.5,21728,1684,11.34216685,Rural,1513.6700226889434,23.09061888,1720201.348,41809.72452777732,0.16673508986457153,FALSE,2700853,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3152,US,Arizona,GRAND CANYON,Other
2700854,2922,0.4444444444444444,126987,2405,1.174877198,Suburban,11529.931400746746,0.629928133,2165890.155,49021.90435,0.010372055368299524,FALSE,2700854,3100 - Grand Canyon Division,3140,3140 - GR Region - Claudia Figueroa,3141,US,Arizona,GRAND CANYON,Other
2700858,2500,0.11428571428571428,230889,41,3.391260909,Suburban,129679.64707954346,2.592561795,1771275.702,53837.74624121329,2.1999918390649422,TRUE,2700858,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2664,US,California,WEST COAST,Other
2700867,2860,0.25,226727,500,1.299754132,Urban,58982.62698955863,0.136979523,2793144.077,53000.21033270354,0.034037006,TRUE,2700867,3100 - Grand Canyon Division,3110,3110 - GR Region - Billie Anderson,3111,US,Arizona,GRAND CANYON,Other
2700872,2800,0.057142857,190148,107,1.981662799,Urban,236901.16155959165,0.635659653,2316352.092,67959.33264,0.708683838,TRUE,2700872,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2666,US,California,WEST COAST,Other
2700889,3822,0.30434782608695654,202036,189,0.986993163,Suburban,131423.21014031817,1.115310511,3006529.611,68873.26421898254,0.17549764860308265,TRUE,2700889,1700 - Southeast Division,1750,1750 - Southeast - Mark Kesmodel,1753,US,Georgia,SOUTHEAST,Other
2700890,2778,0.32954545454545453,338551,291,0.888953239,Urban,233710.3575574896,0.242623776,1394417.491,52118.42895863017,1.5549677030323288,TRUE,2700890,1800 - Rocky Mountain Division,1830,1830 - RM Region - Victor Salas,1839,US,Texas,ROCKY MOUNTAINS,Other
2700902,2652,0.090909091,199139,24,11.19493616,Suburban,26821.355522007598,0.246259106,2476622.116,44722.52244512307,1.1942754470300354,TRUE,2700902,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2664,US,California,WEST COAST,Other
2700905,2500,0.29411764705882354,953886,67,0.263354105,Urban,328141.3747822802,0.668677309,1813762.941,87862.63912794762,0.020612385155010213,FALSE,2700905,3100 - Grand Canyon Division,3140,3140 - GR Region - Claudia Figueroa,3144,US,Arizona,GRAND CANYON,Other
2700916,2695,0.38461538461538464,211447,73,1.403814273,Suburban,24430.018323671164,1.523411006,1876866.789,33411.06068182268,0.010616536367167946,FALSE,2700916,3100 - Grand Canyon Division,3150,3150 - GR Region - Troy Beatty,3157,US,Arizona,GRAND CANYON,Other
2700951,1426,0.023255813953488372,932127,207,0.823535833,Urban,365789.7434,0.735761654,2083542.288,61578.16008661443,0.6128062994780644,FALSE,2700951,2600 - West Coast Division,2650,2650 - WC Region - Southern CA North,2658,US,California,WEST COAST,Other
2700990,2652,0.3333333333333333,35062,131,21.62508199,Rural,4682.619810716206,0.950789966,1980204.930859375,46785.94299149053,7.514310805278672,TRUE,2700990,3100 - Grand Canyon Division,3110,3110 - GR Region - Billie Anderson,3112,US,Arizona,GRAND CANYON,Other
2701011,2500,0.4,551688,107,0.795818243,Urban,168129.1186446635,0.982232642,1814669.554,39114.53742854762,0.005101276,FALSE,2701011,3100 - Grand Canyon Division,31B0,31B0 - GR Div Closed/Pending Sites,31B1,US,Arizona,GRAND CANYON,Other
2701028,2000,0.034482758620689655,222163,47,18.36488962,Urban,90138.30785026625,1.03179579,1840928.031,62238.912613303226,0.066635116,FALSE,2701028,2600 - West Coast Division,2650,2650 - WC Region - Southern CA North,2659,US,California,WEST COAST,Other
2701045,2680,0.16666666666666666,179547,557,12.96506986,Suburban,24776.619152946605,2.00273797,2004674.099,82744.25427,3.163604054219222,TRUE,2701045,2600 - West Coast Division,2650,2650 - WC Region - Southern CA North,2651,US,California,WEST COAST,Other
2701054,2750,0.36363636363636365,99224,568,1.329182314,Urban,100711.07290844515,1.0059088,2335649.923,59266.04866681117,0.022756715706931614,FALSE,2701054,3100 - Grand Canyon Division,3130,3130 - GR Region - Carlos Estrada,3135,US,Arizona,GRAND CANYON,Other
2701057,1584,0.019867549668874173,1333315,117,0.823535833,Urban,417469.84610458155,0.694175381,1829093.895,59863.90750655579,0.832352114,FALSE,2701057,2600 - West Coast Division,2650,2650 - WC Region - Southern CA North,2658,US,California,WEST COAST,Other
2701065,2869,0.2987012987012987,1178597,30,1.082890696,Urban,284253.8624264093,1.093838039,2391151.869,55096.08707730842,0.027559571853095877,FALSE,2701065,3100 - Grand Canyon Division,3130,3130 - GR Region - Carlos Estrada,3132,US,Arizona,GRAND CANYON,Other
2701094,1922,0.14285714285714285,156943,8,0.440233761,Rural,12836.386415918483,0.764704359,1696140.761,50528.48499096652,0.020199874086446516,FALSE,2701094,1700 - Southeast Division,1760,1760 - Southeast -  Rich Hicks,1761,US,Georgia,SOUTHEAST,Other
2701096,2600,0.068965517,430547,68,1.628173225,Suburban,29715.193213440984,0.754641918,1466826.062,44178.94588465117,1.641080651621437,FALSE,2701096,2600 - West Coast Division,2660,2660 - WC Region - Southern CA South,2664,US,California,WEST COAST,Other
